cliente,nombre_servicio,comuna,peluqueria,total
10000758,Tintes y coloracion de cabello,40,7,97034
10000974,Tintes y coloracion de cabello,84,7,97034
10000867,Tintes y coloracion de cabello,68,7,97034
10000702,Tintes y coloracion de cabello,53,7,97034
10000312,Tintes y coloracion de cabello,166,7,97034
10000045,Tintes y coloracion de cabello,199,7,97034
10000207,Tintes y coloracion de cabello,131,7,97034
10000724,Tintes y coloracion de cabello,10,7,97034
10000713,Tintes y coloracion de cabello,127,7,97034
10000924,Tintes y coloracion de cabello,35,7,97034
10000471,Tintes y coloracion de cabello,1,7,97034
10000104,Tintes y coloracion de cabello,192,7,97034
10000814,Tintes y coloracion de cabello,141,7,97034
10000235,Tintes y coloracion de cabello,32,7,97034
10000508,Tintes y coloracion de cabello,58,7,97034
10000879,Tintes y coloracion de cabello,39,7,97034
10000734,Tintes y coloracion de cabello,166,7,97034
10000942,Tintes y coloracion de cabello,114,7,97034
10000302,Tintes y coloracion de cabello,156,7,97034
10000100,Tintes y coloracion de cabello,84,7,97034
10000879,Tintes y coloracion de cabello,39,7,97034
10000214,Tintes y coloracion de cabello,151,7,97034
10000448,Tintes y coloracion de cabello,95,7,97034
10000668,Tintes y coloracion de cabello,48,7,97034
10000687,Tintes y coloracion de cabello,103,7,97034
10000973,Tintes y coloracion de cabello,24,7,97034
10000131,Tintes y coloracion de cabello,178,7,97034
10000271,Tintes y coloracion de cabello,10,7,97034
10000641,Tintes y coloracion de cabello,191,7,97034
10000365,Tintes y coloracion de cabello,16,7,97034
10000561,Tintes y coloracion de cabello,56,7,97034
10000121,Tintes y coloracion de cabello,124,7,97034
10000771,Tintes y coloracion de cabello,102,7,97034
10000126,Tintes y coloracion de cabello,176,7,97034
10000651,Tintes y coloracion de cabello,170,7,97034
10000135,Tintes y coloracion de cabello,17,7,97034
10000870,Tintes y coloracion de cabello,79,7,97034
10000329,Tintes y coloracion de cabello,119,7,97034
10000271,Tintes y coloracion de cabello,10,7,97034
10000633,Tintes y coloracion de cabello,173,7,97034
10000601,Tintes y coloracion de cabello,164,7,97034
10000622,Tintes y coloracion de cabello,154,7,97034
10000818,Tintes y coloracion de cabello,68,7,97034
10000842,Tintes y coloracion de cabello,22,7,97034
10000563,Tintes y coloracion de cabello,68,7,97034
10000776,Tintes y coloracion de cabello,186,7,97034
10000335,Tintes y coloracion de cabello,199,7,97034
10000943,Tintes y coloracion de cabello,159,7,97034
10000243,Tintes y coloracion de cabello,153,7,97034
10000346,Tintes y coloracion de cabello,108,7,97034
10000504,Tintes y coloracion de cabello,151,7,97034
10000334,Tintes y coloracion de cabello,28,7,97034
10000718,Tintes y coloracion de cabello,26,7,97034
10000230,Tintes y coloracion de cabello,179,7,97034
10000416,Tintes y coloracion de cabello,2,7,97034
10000255,Tintes y coloracion de cabello,145,7,97034
10000555,Tintes y coloracion de cabello,57,7,97034
10000215,Tintes y coloracion de cabello,166,7,97034
10000725,Tintes y coloracion de cabello,46,7,97034
10000136,Tintes y coloracion de cabello,111,7,97034
10000959,Tintes y coloracion de cabello,98,7,97034
10000204,Tintes y coloracion de cabello,72,7,97034
10000498,Tintes y coloracion de cabello,3,7,97034
10000421,Tintes y coloracion de cabello,45,7,97034
10000966,Tintes y coloracion de cabello,167,7,97034
10000436,Tintes y coloracion de cabello,1,7,97034
10000181,Tintes y coloracion de cabello,139,7,97034
10000288,Tintes y coloracion de cabello,175,7,97034
10000103,Tintes y coloracion de cabello,67,7,97034
10000782,Tintes y coloracion de cabello,171,7,97034
10000826,Tintes y coloracion de cabello,179,7,97034
10000549,Tintes y coloracion de cabello,169,7,97034
10000643,Tintes y coloracion de cabello,156,7,97034
10000344,Tintes y coloracion de cabello,149,7,97034
10000968,Tintes y coloracion de cabello,40,7,97034
10000801,Tintes y coloracion de cabello,160,7,97034
10000197,Tintes y coloracion de cabello,48,7,97034
10000375,Tintes y coloracion de cabello,126,7,97034
10000458,Tintes y coloracion de cabello,21,7,97034
10000226,Tintes y coloracion de cabello,127,7,97034
10000554,Tintes y coloracion de cabello,194,7,97034
10000390,Tintes y coloracion de cabello,100,9,97034
10000353,Tintes y coloracion de cabello,149,9,97034
10000636,Tintes y coloracion de cabello,132,9,97034
10000757,Tintes y coloracion de cabello,20,9,97034
10000662,Tintes y coloracion de cabello,2,9,97034
10000667,Tintes y coloracion de cabello,43,9,97034
10000752,Tintes y coloracion de cabello,19,9,97034
10000615,Tintes y coloracion de cabello,45,9,97034
10000959,Tintes y coloracion de cabello,98,9,97034
10000177,Tintes y coloracion de cabello,150,9,97034
10000173,Tintes y coloracion de cabello,150,9,97034
10000745,Tintes y coloracion de cabello,132,9,97034
10000233,Tintes y coloracion de cabello,153,9,97034
10000877,Tintes y coloracion de cabello,190,9,97034
10000356,Tintes y coloracion de cabello,73,9,97034
10000867,Tintes y coloracion de cabello,68,9,97034
10000287,Tintes y coloracion de cabello,193,9,97034
10000866,Tintes y coloracion de cabello,19,9,97034
10000264,Tintes y coloracion de cabello,56,9,97034
10000595,Tintes y coloracion de cabello,138,9,97034
10000567,Tintes y coloracion de cabello,30,9,97034
10000622,Tintes y coloracion de cabello,154,9,97034
